source_id,relative_path,filename,size_bytes,sha256,retrieved_at_utc,url,format,num_rows,num_columns,verification_status,source_version_or_date,license,notes
bcb-sgs-20570,data/raw/bcb_sgs/bcb_sgs_20570.json,bcb_sgs_20570.json,5976,6c6177169ffd67221b01226bd25a5b91729efb7e200620411de4e330141f4b37,2026-07-23T22:20:14.502227+00:00,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20570/dados?formato=json&dataInicial=29%2F12%2F2024&dataFinal=23%2F07%2F2026,json,137,2,audited,01/01/2015 to 23/07/2026,Open Data Commons Open Database License (ODbL),"BCB SGS series 20570, 137 observation(s)."
bcb-sgs-21112,data/raw/bcb_sgs/bcb_sgs_21112.json,bcb_sgs_21112.json,5617,d93b23872ec59918410ca8aac657f6b1dd526a78fd835251ba158ea7cac0c734,2026-07-23T22:20:15.078599+00:00,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21112/dados?formato=json&dataInicial=29%2F12%2F2024&dataFinal=23%2F07%2F2026,json,137,2,audited,01/01/2015 to 23/07/2026,Open Data Commons Open Database License (ODbL),"BCB SGS series 21112, 137 observation(s)."
south-german-credit,data/raw/south_german_credit/SouthGermanCredit.asc,SouthGermanCredit.asc,47940,5f363343f356ca38a0236baab849e472846399b2176ccc5bd686483dd8a7562f,2026-07-23T22:14:12.750158+00:00,https://archive.ics.uci.edu/static/public/522/south+german+credit.zip,asc,1000,21,audited,1973-1975 (original credit data); correction/republication donated 2019-11-28,CC BY 4.0 (Creative Commons Attribution 4.0 International),Extracted from south_german_credit.zip.
south-german-credit,data/raw/south_german_credit/codetable.txt,codetable.txt,3154,0040e7a173a06d1167447b2bbc4315ee1380fa3c25db321b9fd7d97ada0721bf,2026-07-23T22:14:12.750158+00:00,https://archive.ics.uci.edu/static/public/522/south+german+credit.zip,txt,,,unverified,1973-1975 (original credit data); correction/republication donated 2019-11-28,CC BY 4.0 (Creative Commons Attribution 4.0 International),Extracted from south_german_credit.zip.
south-german-credit,data/raw/south_german_credit/read_SouthGermanCredit.R,read_SouthGermanCredit.R,7550,92340012c6387dcc0fea9dcf47e2cc9659cda93c21bd688f3f694f0f0229ed68,2026-07-23T22:14:12.750158+00:00,https://archive.ics.uci.edu/static/public/522/south+german+credit.zip,r,,,unverified,1973-1975 (original credit data); correction/republication donated 2019-11-28,CC BY 4.0 (Creative Commons Attribution 4.0 International),Extracted from south_german_credit.zip.
south-german-credit,data/raw/south_german_credit/south_german_credit.zip,south_german_credit.zip,13130,0b40d40eb7321693d559e247a556f88a6cc8df8489c3cb2ae084db7592584551,2026-07-23T22:14:12.750158+00:00,https://archive.ics.uci.edu/static/public/522/south+german+credit.zip,zip,,,unverified,1973-1975 (original credit data); correction/republication donated 2019-11-28,CC BY 4.0 (Creative Commons Attribution 4.0 International),
uci-default-credit,data/raw/uci_default_credit/default_of_credit_card_clients.csv,default_of_credit_card_clients.csv,2897080,45bcf4df62ff2e237a74eb155cabfb4bbbc171219a0637daef44fdad07503dd0,2026-07-23T22:13:47.093781+00:00,https://archive.ics.uci.edu/static/public/350/data.csv,csv,30000,25,audited,"April 2005 - September 2005 (6 months of repayment history); dataset donated 2016-01-25, last updated 2024-03-29 per UCI metadata",CC BY 4.0 (Creative Commons Attribution 4.0 International),
